,wage,educ,exper,tenure,nonwhite,female,married,numdep,smsa,northcen,south,west,construc,ndurman,trcommpu,trade,services,profserv,profocc,clerocc,servocc,lwage,expersq,tenursq,date
0,3.0999999046325684,11,2,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1.1314021348953247,4,0,2014
1,3.240000009536743,12,22,2,0,1,1,3,1,0,0,1,0,0,0,0,1,0,0,0,1,1.1755733489990234,484,4,2014
2,3.0,11,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0986123085021973,4,0,2014
3,6.0,8,44,28,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.7917594909667969,1936,784,2014
4,5.300000190734863,12,7,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.667706847190857,49,4,2014
5,8.75,16,9,8,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2.169053792953491,81,64,2014
6,11.25,18,15,7,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2.420368194580078,225,49,2014
7,5.0,12,5,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.6094379425048828,25,9,2014
8,3.5999999046325684,12,26,4,0,1,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1.280933856964111,676,16,2014
9,18.18000030517578,17,22,21,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2.900322198867798,484,441,2014
10,6.25,16,8,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1.8325815200805664,64,4,2014
11,8.130000114440918,13,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2.0955610275268555,9,0,2014
12,8.770000457763672,12,15,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2.171336889266968,225,0,2014
13,5.5,12,18,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.704748034477234,324,9,2014
